"","comuna","categoria","precio","tiponegocio","aniousuarioyapo","urlyapo"
"112","El Bosque","Vendo - Casa",NA,NA,"2019","https://www.yapo.cl/region_metropolitana/comprar/casa_en_el_bosque_73708832.htm?ca=15_s&oa=73708832&xsp=20"
"113","Maipú","Vendo - Casa",NA,NA,"2016","https://www.yapo.cl/region_metropolitana/comprar/casa_ciudad_satelite_patagonia_ii_3d3b_seguridad_73708831.htm?ca=15_s&oa=73708831&xsp=21"
"114","Quinta Normal","Arriendo - Departamento",NA,NA,"2016","https://www.yapo.cl/region_metropolitana/arrendar/arriendo_departamento_quinta_normal_73708830.htm?ca=15_s&oa=73708830&xsp=22"
"X2108","Maipú","Muebles","180000","Vendo","2018","https://www.yapo.cl/region_metropolitana/muebles/centro_de_estudio_73708829.htm?ca=15_s&oa=73708829&xsp=23"
"115","San Miguel","Servicios",NA,NA,"2014","https://www.yapo.cl/region_metropolitana/servicios/distribuidora_orishas_73708825.htm?ca=15_s&oa=73708825&xsp=24"
"X2109","Colina","Autos, camionetas y 4x4","1100000","Vendo","2020","https://www.yapo.cl/region_metropolitana/autos/jac_j2_2015__73708823.htm?ca=15_s&oa=73708823&xsp=25"
"116","La Florida","Ofertas de empleo",NA,NA,"2019","https://www.yapo.cl/region_metropolitana/ofertas_de_empleo/tecnicos_electricos_y_cctv_73708819.htm?ca=15_s&oa=73708819&xsp=26"
"X2110","Maipú","Negocios, maquinaria y construcción","4e+05","Vendo","2014","https://www.yapo.cl/region_metropolitana/negocios_maquinaria_construccion/colleretera__tapacostura_typical_industrial_73708816.htm?ca=15_s&oa=73708816&xsp=27"
"X2111","Huechuraba","Libros y revistas","5000","Vendo","2018","https://www.yapo.cl/region_metropolitana/libros_revistas/libro_polar_bears_in_trouble_73708815.htm?ca=15_s&oa=73708815&xsp=28"
"117","Santiago","Arriendo - Departamento",NA,NA,"2014","https://www.yapo.cl/region_metropolitana/arrendar/departamento_en_santiago_centro_73420848.htm?ca=15_s&oa=73420848&xsp=29"
"X2112","San Bernardo","Animales y sus accesorios",NA,"Vendo","2020","https://www.yapo.cl/region_metropolitana/animales_accesorios/se_regala_gatita__rescatada_de_un_incendio__73708813.htm?ca=15_s&oa=73708813&xsp=30"
"X2113","Puente Alto","Salud y belleza","10000","Vendo","2015","https://www.yapo.cl/region_metropolitana/salud-belleza/mascarillas_quirurgica_50_unidades_73708810.htm?ca=15_s&oa=73708810&xsp=31"
"118","La Florida","Servicios",NA,NA,"2020","https://www.yapo.cl/region_metropolitana/servicios/instalacion_de_pasto_sintetico_73708809.htm?ca=15_s&oa=73708809&xsp=32"
"X2114","Conchalí","Salud y belleza","7000","Vendo","2017","https://www.yapo.cl/region_metropolitana/salud-belleza/abrigo_nuevo_sin_uso_73708806.htm?ca=15_s&oa=73708806&xsp=33"
"X2115","Pudahuel","Moda y vestuario","11000","Vendo","2016","https://www.yapo.cl/region_metropolitana/moda-vestuario/jogger_mujer_73708805.htm?ca=15_s&oa=73708805&xsp=34"
