"","comuna","categoria","precio","tiponegocio","aniousuarioyapo","urlyapo"
"X267","Quilicura","Bicicletas, ciclismo y accesorios","80000","Vendo","2013","https://www.yapo.cl/region_metropolitana/bicicletas_ciclismo/bicicleta_trek_3900_73708928.htm?ca=15_s&oa=73708928&xsp=22"
"X268","Vitacura","Calzado","36000","Vendo","2015","https://www.yapo.cl/region_metropolitana/calzado/zapatos_c_moran_nuevos_sin_uso_73708927.htm?ca=15_s&oa=73708927&xsp=23"
"X269","Maipú","Moda y vestuario","7000","Vendo","2016","https://www.yapo.cl/region_metropolitana/moda-vestuario/crop_asimetrico_73708924.htm?ca=15_s&oa=73708924&xsp=24"
"X270","Pudahuel","Computadores y accesorios","650000","Vendo","2016","https://www.yapo.cl/region_metropolitana/computadores/launch_x431_pro3_nuevo_73708923.htm?ca=15_s&oa=73708923&xsp=25"
"X271","Santiago","Juguetes","3000","Vendo","2016","https://www.yapo.cl/region_metropolitana/juguetes/barbie_corvette_stingray_hotwheels_73708921.htm?ca=15_s&oa=73708921&xsp=26"
"X272","Recoleta","Accesorios y piezas para vehículos","20000","Vendo","2018","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/mk3_volkswagen_golf_capo_73708920.htm?ca=15_s&oa=73708920&xsp=27"
"X273","San Miguel","Moda y vestuario",NA,"Vendo","2020","https://www.yapo.cl/region_metropolitana/moda-vestuario/conjuntos_jogger___poleron__73708919.htm?ca=15_s&oa=73708919&xsp=28"
"15","Peñalolén","Servicios","25000",NA,"2013","https://www.yapo.cl/region_metropolitana/servicios/kinesiologo_cardiorespiratorio_73708918.htm?ca=15_s&oa=73708918&xsp=29"
"X274","La Florida","Coches y artículos infantiles","16000","Vendo","2020","https://www.yapo.cl/region_metropolitana/coches-articulos-infantiles/nan_optipro_1_73708917.htm?ca=15_s&oa=73708917&xsp=30"
"X275","Santiago","Celulares, teléfonos y accesorios",NA,"Vendo","2015","https://www.yapo.cl/region_metropolitana/celulares/iphone_se_16gb_73708916.htm?ca=15_s&oa=73708916&xsp=31"
"X276","Ñuñoa","Bolsos, bisutería y accesorios","1500","Vendo","2020","https://www.yapo.cl/region_metropolitana/bolsos-bisuteria-accesorios/lentes_de_sol_73708913.htm?ca=15_s&oa=73708913&xsp=32"
"X277","Pudahuel","Negocios, maquinaria y construcción",NA,"Vendo","2013","https://www.yapo.cl/region_metropolitana/negocios_maquinaria_construccion/maquina_chipeadora_nueva_73708909.htm?ca=15_s&oa=73708909&xsp=33"
"X278","San Miguel","Autos, camionetas y 4x4",NA,"Vendo","2020","https://www.yapo.cl/region_metropolitana/autos/chery_beat_73708907.htm?ca=15_s&oa=73708907&xsp=34"
"X279","Recoleta","Accesorios y piezas para vehículos","20000","Vendo","2018","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/mk3_volkswagen_vento_capo_73708906.htm?ca=15_s&oa=73708906&xsp=35"
"X280","Ñuñoa","Otros artículos del hogar","18000","Vendo","2014","https://www.yapo.cl/region_metropolitana/articulos-del-hogar/reloj_mural_con_pendulo_73708904.htm?ca=15_s&oa=73708904&xsp=36"
"X281","Recoleta","Accesorios y piezas para vehículos","10000","Vendo","2018","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/mk3_volkswagen_vento_canister_73708901.htm?ca=15_s&oa=73708901&xsp=37"
"X282","Santiago","Celulares, teléfonos y accesorios","25000","Vendo","2015","https://www.yapo.cl/region_metropolitana/celulares/iphone_5_16gb_73708899.htm?ca=15_s&oa=73708899&xsp=38"
"X283","Maipú","Accesorios y piezas para vehículos","40000","Vendo","2014","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/bolso_de_estanque_y_soporte_top_case_73708895.htm?ca=15_s&oa=73708895&xsp=39"
"X284","Santiago","Autos, camionetas y 4x4","1000","Vendo","2015","https://www.yapo.cl/region_metropolitana/autos/suzuki_celerio_1_0_2017_en_desarme_73708892.htm?ca=15_s&oa=73708892&xsp=40"
